date,max_temp,min_temp
2026-07-28,31.2,25.4
2026-07-29,32.3,26.3
2026-07-30,32.6,27.3
2026-07-31,32.4,27.5
2026-08-01,31.2,25.7
2026-08-02,31.2,25.4
2026-08-03,29.8,25.0
